region_no,region,year,month,sal_base,sal_fallX2_hi,sal_fallX2_low,sal_sumX2_hi
9,NE Suisun,2024,3,0.09643755,NA,NA,NA
9,NE Suisun,2024,4,0.32784647,NA,NA,NA
9,NE Suisun,2024,5,0.22164794,NA,NA,NA
9,NE Suisun,2024,6,1.089567598,NA,NA,1.330984715
9,NE Suisun,2024,7,2.823471501,NA,NA,4.399530459
9,NE Suisun,2024,8,4.435450538,4.488839467,1.372059992,6.630957248
9,NE Suisun,2024,9,2.538537034,10.22273139,0.95509155,7.401985075
9,NE Suisun,2024,10,6.810335359,11.9887298,1.582668077,NA
9,NE Suisun,2024,11,6.358383384,4.18211767,1.519513572,NA
9,NE Suisun,2024,12,2.940344435,NA,NA,NA
10,Suisun Marsh,2024,1,0.891505668,NA,NA,NA
10,Suisun Marsh,2024,2,0.627655559,NA,NA,NA
10,Suisun Marsh,2024,3,0.727938429,NA,NA,NA
10,Suisun Marsh,2024,4,0.819558934,NA,NA,NA
10,Suisun Marsh,2024,5,0.855179641,NA,NA,NA
10,Suisun Marsh,2024,6,0.629309816,NA,NA,1.777330495
10,Suisun Marsh,2024,7,2.33143041,NA,NA,3.675963445
10,Suisun Marsh,2024,8,4.298174234,3.602691526,1.743991674,4.574480603
10,Suisun Marsh,2024,9,4.180948635,6.108478397,1.431422043,5.013093856
10,Suisun Marsh,2024,10,6.408618517,6.828722144,1.977302943,NA
10,Suisun Marsh,2024,11,4.589842998,3.894688273,2.095750548,NA
10,Suisun Marsh,2024,12,2.128621393,NA,NA,NA
11,SW Suisun,2024,1,5.33568355,NA,NA,NA
11,SW Suisun,2024,2,0.336563826,NA,NA,NA
11,SW Suisun,2024,3,0.09774693,NA,NA,NA
11,SW Suisun,2024,4,1.763314456,NA,NA,NA
11,SW Suisun,2024,5,3.601497536,NA,NA,NA
11,SW Suisun,2024,6,4.900681931,NA,NA,4.318035854
11,SW Suisun,2024,7,6.817177098,NA,NA,10.12623992
11,SW Suisun,2024,8,12.45697739,10.03195019,4.2934121,13.26510024
11,SW Suisun,2024,9,10.21653554,18.24890024,3.371747103,14.6089889
11,SW Suisun,2024,10,13.27512712,18.24890024,4.890324028,NA
11,SW Suisun,2024,11,14.60671529,10.42142355,5.047727629,NA
11,SW Suisun,2024,12,9.205377561,NA,NA,NA
12,NW Suisun,2024,1,2.10634813,NA,NA,NA
12,NW Suisun,2024,2,0.146796735,NA,NA,NA
12,NW Suisun,2024,3,0.129555024,NA,NA,NA
12,NW Suisun,2024,4,0.499885031,NA,NA,NA
12,NW Suisun,2024,5,1.143804522,NA,NA,NA
12,NW Suisun,2024,6,1.828561447,NA,NA,2.474988795
12,NW Suisun,2024,7,5.338296052,NA,NA,7.440148357
12,NW Suisun,2024,8,7.055663742,7.52960456,2.526015567,10.78717729
12,NW Suisun,2024,9,5.770384085,16.15346814,1.817998362,11.99661136
12,NW Suisun,2024,10,9.159028487,18.24890024,2.903600306,NA
12,NW Suisun,2024,11,10.02328489,7.229516406,2.844114804,NA
12,NW Suisun,2024,12,5.670151566,NA,NA,NA
